No,GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_Eco,Team1_SemiEco,Team1_SemiBuy,Team1_FullBuy,Team1_TotalRounds,Team2_Eco,Team2_SemiEco,Team2_SemiBuy,Team2_FullBuy,Team2_TotalRounds
14751,3098,2123,Ascent,3,472,Ninjas in Pyjamas,BIG,1,2.0,1.0,7.0,12.0,13,5.0,0.0,0.0,17.0,9
14752,3086,2118,Bind,472,50,BIG,need more DM,1,3.0,2.0,2.0,16.0,13,4.0,1.0,5.0,13.0,10
14753,3084,2116,Ascent,529,547,Rix.GG,ex-Giants Gaming,1,2.0,0.0,5.0,12.0,13,3.0,2.0,2.0,12.0,6
14754,3076,2108,Ascent,3,529,Ninjas in Pyjamas,Rix.GG,1,5.0,2.0,5.0,14.0,14,2.0,2.0,6.0,16.0,12
14755,3078,2110,Ascent,257,50,G2 Esports,need more DM,1,3.0,0.0,2.0,15.0,13,5.0,0.0,5.0,10.0,7
14757,3081,2113,Split,681,2048,SKADE,Prodigy,1,3.0,0.0,2.0,10.0,13,3.0,3.0,4.0,5.0,2
14758,3036,2075,Ascent,3,562,Ninjas in Pyjamas,Inferno,1,3.0,1.0,7.0,13.0,13,4.0,1.0,7.0,12.0,11
14759,3037,2076,Haven,529,547,Rix.GG,ex-Giants Gaming,1,3.0,3.0,5.0,11.0,13,3.0,2.0,4.0,13.0,9
14760,3038,2077,Bind,474,681,Team Liquid,SKADE,1,3.0,1.0,4.0,15.0,13,3.0,3.0,6.0,11.0,10
14762,3040,2079,Split,257,42,G2 Esports,Valorando,1,2.0,1.0,5.0,14.0,13,4.0,2.0,5.0,11.0,9
14763,3042,2081,Bind,628,324,FunPlus Phoenix,Wave Esports,1,2.0,0.0,3.0,10.0,13,3.0,1.0,6.0,5.0,2
14764,3043,2082,Haven,397,655,BBL Esports,Project SW,1,2.0,0.0,2.0,11.0,13,3.0,0.0,5.0,7.0,2
14765,3033,2074,Bind,2,103,Sentinels,Immortals,1,2.0,1.0,5.0,15.0,13,5.0,2.0,2.0,14.0,10
14766,3034,2074,Split,2,103,Sentinels,Immortals,1,4.0,1.0,1.0,14.0,13,3.0,4.0,3.0,10.0,7
14767,3030,2073,Split,427,14,Envy,T1,2,4.0,2.0,2.0,24.0,15,3.0,1.0,3.0,25.0,17
14768,3031,2073,Ascent,427,14,Envy,T1,1,2.0,3.0,5.0,14.0,13,4.0,1.0,1.0,18.0,11
14769,3032,2073,Haven,427,14,Envy,T1,1,3.0,1.0,3.0,13.0,13,4.0,2.0,3.0,11.0,7
14772,2845,1933,Ascent,204,183,CYCLOPS athlete gaming,SunSister Rapid,1,,,,,15,,,,,13
14773,2844,1932,Bind,279,104,Absolute JUPITER,REJECT,1,,,,,14,,,,,12
14774,3020,2063,Bind,103,14,Immortals,T1,1,2.0,1.0,5.0,8.0,13,4.0,1.0,3.0,8.0,3
14775,3021,2063,Ascent,103,14,Immortals,T1,1,2.0,2.0,4.0,12.0,13,5.0,0.0,3.0,12.0,7
14776,3017,2062,Haven,2,427,Sentinels,Envy,1,3.0,1.0,1.0,17.0,13,4.0,1.0,5.0,12.0,9
14777,3018,2062,Bind,2,427,Sentinels,Envy,1,2.0,0.0,5.0,10.0,13,5.0,1.0,3.0,8.0,4
14778,3011,2056,Split,17,188,Gen.G,Cloud9,1,4.0,1.0,0.0,16.0,13,2.0,2.0,6.0,11.0,8
14779,3013,2056,Ascent,17,188,Gen.G,Cloud9,2,4.0,1.0,4.0,9.0,5,2.0,0.0,5.0,11.0,13
14780,3023,2056,Bind,17,188,Gen.G,Cloud9,2,3.0,1.0,6.0,9.0,6,3.0,0.0,3.0,13.0,13
14781,2975,2027,Ascent,419,520,TERROR.NET,Virtue Gaming,1,,,,,13,,,,,5
14782,2977,2029,Haven,417,584,Black Dragons,Furacão BLACK,1,,,,,13,,,,,5
14783,2972,2024,Ascent,526,587,FAKEZIN,Imposto é Roubo,1,,,,,13,,,,,3
14784,3008,2055,Haven,419,425,TERROR.NET,Team oNe,1,3.0,1.0,5.0,17.0,14,4.0,2.0,4.0,16.0,12
14785,3009,2055,Ascent,419,425,TERROR.NET,Team oNe,1,3.0,2.0,4.0,19.0,15,3.0,2.0,2.0,21.0,13
14786,2966,2020,Bind,425,420,Team oNe,Team Vikings,1,2.0,3.0,3.0,24.0,17,3.0,2.0,6.0,21.0,15
14787,2967,2020,Ascent,425,420,Team oNe,Team Vikings,1,2.0,3.0,4.0,11.0,13,4.0,3.0,1.0,12.0,7
14788,3315,2230,TBD,404,700,team cotch,COMETA TEAM,2,,,,,0,,,,,0
14789,2888,1976,Bind,497,496,Attack All Around,ahq e-Sports Club,2,,,,,7,,,,,13
14790,2889,1976,Ascent,497,496,Attack All Around,ahq e-Sports Club,1,,,,,13,,,,,6
