No,MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
1386,42110,2021-09-25 08:00:00,,687,Skyesports Championship 3.0,India: Upper Bracket Quarterfinals,4829,6297,Team Valor,Team Punished,2,1
1387,40481,2021-09-25 07:00:00,Patch 3.06,450,Strike Arabia Championship: Finals,Main Event: Lower Bracket Finals,3527,1466,Piercer Esports,Anubis Gaming,1,2
1388,42109,2021-09-25 04:30:00,,687,Skyesports Championship 3.0,India: Upper Bracket Quarterfinals,799,6001,Velocity Gaming,OnlyFriends,2,0
1392,42342,2021-09-24 21:25:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 2,4475,4560,Gen.G Black,Unbind Crouch,2,0
1394,42072,2021-09-24 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 1,4837,6284,Shopify Rebellion,Anavrin Esports,2,0
1396,42074,2021-09-24 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 1,3548,6283,TSM X,Sanctity,2,0
1397,42075,2021-09-24 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 1,4475,6278,Gen.G Black,ILG JADE,2,0
1399,42077,2021-09-24 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 1,4550,5972,NOTHING2LOSE,Team Ancients Female,2,0
1400,42078,2021-09-24 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 1,6200,6285,Complexity GX3,ONYX Purple,2,0
1401,42079,2021-09-24 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 1,6294,6274,VersionX,NMG Indigo,2,0
1404,42215,2021-09-24 15:00:00,Patch 3.06,681,Kingdom Calling #4,Playoffs: Semifinals,324,5214,Wave Esports,CGN Esports,2,0
1405,42190,2021-09-24 13:20:00,Patch 3.05,679,Circuito Tormenta: Liga Radiante S1,Regular Season : Regular Season ,6134,3821,Einheit,TOOOLS esports,1,0
1406,29641,2021-09-24 12:50:00,,626,K&H Magyar Nemzeti E-sport Bajnokság #3,Playoffs: Semifinals,576,2313,iPon Esport,Lenovo Legion Honvéd,2,0
1408,29640,2021-09-24 11:00:00,,626,K&H Magyar Nemzeti E-sport Bajnokság #3,Playoffs: Semifinals,4670,3861,WiLD MultiGaming,Békéscsabai E-sport Egyesület,2,0
